id,title,price
0,charger mi band 4,40000
1,Kunci Palang Y Ukuran 8 10 12 Dan 10 12 14,20000
2,earphones FOOMEE QA26 Wired ,21000
3,Kabel Data Vizz model micro,9000
4,JASA SERVICE KOMPUTER & LAPTOP SEGALA MERK,25000
5,Bluetooth Receiver,25000
6,Case Vivo Y12 Y15 Y17,35000
7,100%ori Fast Charging Kabel Usb Type B Xioami,15000
8,Korek Electric,30000
9,Lightning Iphone Oem Awet Sampai 1tahun,25000
10,Di Jual Tverek Akari 21 Inch Plus Remot Kondisi Normar Seperti Baru,5506
11,Keyboard Votre Usb ,45000
12,Peralatan Hp,35000
13,Case Vivo Y12/Y17,15000
14,Silikon AntiCrack Semua Tipe Handphone ,10000
15,Tempered Glas Kaca Semua Tipe Handphone ,5000
16,CHARGE NOKIA ORIGINAL ,15000
17,HEADSET D21 STREO,25000
18,HEADSET OASE E-G1,25000
19,CASE BUMPER SEMUA TIPE HANDPHONE ,25000
20,CHARGE ROBOT RT-K7,45000
21,Earphone Stereo,25000
22,Samsung Travel Adapter ,20000
23,Hardcase Android,45000
24,Tempered Glas Full 5D Iphone All Tipe ,25000
25,Soft Case iPhone 11 Pro Max,30000
26,Soft Case Karet Xiaomi Redmi Note 9,30000
27,Zaltv PREMIUM Dan BERGARANSI,40000
28,Aneka Headset Berkualitas Bass Mantap Suara Jernih TERMURAH,10000
29,HP HOLDER LIPAT   ,20000
30,Case Hp All Type,10000
31,Koper Case All Type,10000
32,Limbah Komputer Uangkan Saja,15000
33,Keramik Lantai 40x40,123
34,Keramik 40x40 Motif Batu,123
35,Micro Data Cable,15000
36,MURAH!! WA : 0822-2591-8902  Sewa Zoom 100 Peserta Pasar Rebo,15000
37,Cawan Tipe C Nya Ga Kepake Barang Masih Bagus,30000
38,"Perdana Indosat isi Kuota 2gb, Kartu Siap Pakai Tanpa Hrs Registrasi",10000
39,Aksesories Hp Tempat Hp,17000
40,Kabel Data Fast Dan VOOC Type C,9500
41,Kuota Smartfren 17gb,10000
42,Vivo Y71 Ram 2/16 No Minus Harga 750 ,750
43,Case Harga Grosir,20000
44,AKSESORIS HP STAND HOLDER DUDUKAN HP VVIC-250(Silakan menghubungi saya,32000
45,SARUNG HP WATERPROOF UNIVERSAL  VSKY-047(Silakan menghubungi saya untu,32000
46,Handset Grosiran,20000
47,Cas ORI Oppo Bawaan Hp,35000
48,Jarum Jahit Dll,20000
49,Kartu Perdana Axis,15000
50,Handset Gosiran,10000
51,Softcase hp murah meriah,20000
52,Ready Sofcase All Type,30000
53,Munyak Wangi Natural ,22500
54,Casing Apik Tenan,20000
55,Batok Casan Bebagai Merk,20000
56,Mejikom...........,15000
57,ECLE typeC-L Fast charge data cable Grey one size grey,45000
58,Relame 3 3/32gb,1200
59,Mouse USB...Masih Lancar Jaya,25000
60,Bekas Di Jual Murah Ae,15000
61,Hp Rongsok Hancur,15000
62,handpone rusak gbisa idup,10000
63,Hp Rusak Hancur,20000
64,Headset bekas Murah enak,20000
65,Beli Yu Kali Berguna,25000
66,case hp vivo baru murah,20000
67,di jual memori 4 gb,35000
68,Hp Oppo Jadul Harga Murah,25000
69,Aksesoris Hp Samsung,20
70,Jual Tablet Rusak Merek Acer ,100
71,Adaptor        ,25000
72,Case Hp Vivo Y12s.  ,15000
73,Kabel LAN UTP  ,1500
74,Handset Berbagai Merek,35000
75,Menjual Aksesories Dan Vuocer ,25000
76,Tanaman Hias Bunga,1111
77,V Tri 1Gb 3 Hari,5100
78,di jual boar carger ,100
79,Handphone Nokia,100
80,Mampir Ke Erafone Prumnas Cirebon,66
81,Mahar Aja 1000 Nego,1000
82,Jual Hp Butuh Bqngettt,850
83,Mouse Bekas Berkualitas,35000
84,Softcase Redmi Note,20000
85,Hp Vivo Y69 Nominus ,750
86,Di Jual Nft Murah,12000
87,jual vivo y93 ram 3 harga 750,750
88,"Gambar Bagus Dengan Harga Murah, Lumayan Loh Buat Pajangan.",1500
89,Jual Tali Cassan Keren Berwarna,15000
90,Di Jual Cepat Min,25000
91,PREMIUM NETFLIX 1 BULAN,20000
92,Hedphon Vivo Enak D Pakai,2500
93,Hp Lumayan Rusak,25000
94,Jual Kartu Perdana XL,10000
95,Sedang Mencari ,0
96,Cassing Hp Oppo,12345
97,Case Vivo Y12s Bekasss,10000
98,Case Hp Vivo Y12s.  ,10000
99,Lima Ratus Ribu,500
100,Jual Aja Hp Infinik Smart 5 1000 Net,1000
101,Henset Ulimitid,25000
102,Topi Timur Tengah,15000
103,"Headset, Bisa Buat Ngegame",10000
104,Kaset PS 2 Donwhill,20000
105,Kaset PS Bola Pes2022,20000
106,Alat Untuk Hp/Jarum SIM-card,500
107,Accesoris gadget murah,20000
108,Casing hp iphone murah meriah,20000
109,Casing hp android murah,20000
110,Casing hp android murah,20000
111,Case hp fashionable,20000
112,Case hp android murah,20000
113,Case hp android murah,20000
114,asisoris Hanedpone,45000
115,Sewa Baju Dan Lain Lain,1000
116,Yuk Bisa Kredit Tanpa DP Cicilan Bulan Depan Toko Jalan Raya Serpong,0
117,fcxcvvvvvcccfggbb,0
118,Aneka Vocer Ada Dan Murah,10000
119,Silicon Karakter Robot,15000
120,Jual Hp Bekas Realme C15,17
121,SUMBANG SE IKHLASNYA,1000
122,Hp Lumayan Bagus,2000
123,Jangan Lupa Subscribe Bro,123
124,Refferal Allo Bank,10000
125,daftar dapat 10k undang 1 teman  1k penarikan minimal 20k https://amz-,20000
126,Aksesoris Hp All Tipe,40000
127,Dijual. Chip Domino,5000
128,Promosi Di India Terbkldbvsvkajggdjbs,2000
129,Jual Mantap Gratis,1000
130,Nya Hp Spek Snapdragon 600 Ke Atas,123
131,Oofhhvgiktrrfuu,123
132,"Lava Iris Ram, 2/16. 300 Net Jajap K Kopo",300
133,Advan I5c Plus 2/16 4G,200
134,Tablet 4G No Minus Mulus,350
135,beli di sini murah ey,17000
136,Cashbackxxxxxxx,2000
137,Tidak Di Jual Haram,1000
138,Tab Alcateltouch,600
139,Tepuguh Naon Lier,600
140,naon weh mni kepo ehhh ai mneh ,20000
141,hwkwhwjeheheheheheheh,20000
142,Gskenhhbwjwbajk ,1000
