id,title,price,condition,condition_int
608,Rose Skirt,25000,new,1
609,Tender Beauty ,25000,new,1
610,Loli Red,22000,new,1
612,Set Pearl Accessories,20000,new,1
613,Diamond Heart Bracelet,18000,new,1
640,Anting Anak,35000,new,1
828,ATASAN KATRINA,37000,new,1
829,ATASAN LENGAN KARET,35000,new,1
830,ATASAN NAINA,42000,new,1
831,ATASAN PEVITA,36000,new,1
930,Baju Murah 15.000,15000,enough,3
937,"SALE !!! Fashion wanita Start Form 10K , Barang Baru Bukan Bekas",25000,new,1
1169,Daleman Cewek,35000,new,1
1345,"Smilelicious gelang ""Snake Knot"" dengan Black Buckle / Gelang Anyam ",12200,new,1
1454,Masker HITAM,34900,new,1
1455,Masker Putih Alkindo,34900,new,1
1456,Masker KF94,34900,new,1
1458,"Masker KF94 Hitam, Putih, Abu & Warna",34900,new,1
1470,   [Couple] Smilelicious Simple GLOW IN THE DARK Rantai Masker Hitam,22000,new,1
1471,   [Couple] Smilelicious Simple GLOW IN THE DARK Rantai Masker,22000,new,1
1472,Smilelicious Rantai Strap Masker Kekinian Bisa Kustom Nama,25000,new,1
1518,Dres Wanita,35000,new,1
1598,Anting Tusuk Sterling Silver,28000,new,1
1599,Perak Jarum Anting Korea,25000,new,1
1600,Perak jarum Korea Anting kecil,21000,new,1
1601,jarum perak temperamen anting mutiara,28000,new,1
1602,Anting temperamen korea,27000,new,1
1603,Anting Berlian Mutiara Bentuk Setengah Lingkaran,30000,new,1
1725,Jepun Spon ,30000,new,1
1885,Pakaian Import Anak,35000,new,1
1998,Jasa Permak Dan Bordir,10000,new,1
2090,Dompet Wanita,15000,new,1
2097,Sepatu,44000,enough,3
2229,Celana Anak Preloved,15000,enough,3
2230,Celana PL Anak ,15000,enough,3
2274,Gantungan kunci,5500,new,1
2497,Sandal Cewek Heels,40000,new,1
2500,Set... isi Kantong Kanan Kiri Tali Di Pinggang Baju.... ,45000,new,1
2604,Baru! Sandal Wanita Murah Sandal Santai,35000,new,1
2605,Sandal Wanita Santai Size 37-40 Nude Color,30000,new,1
2607,Sandal Santai Tali Size 37-39 Dusty Pink,30000,new,1
2609,Slip Sandal Wanita Size 37-40,35000,new,1
2614,Celana Pendek Rayon,25000,new,1
2646,MORYMONY MULAN - Shoulder Bag,35000,new,1
2648,MORYMONY BANU- Tas Selempang Wanita,40000,new,1
2649,MORYMONY CHRISTINE- Tas Selempang Wanita,35000,new,1
2651,MORYMONY DOMPET KIMI - Dompet Lipat Wanita,25000,new,1
2652,MORYMONY LIVINA-Tas Selempang Wanita,35000,new,1
2719,Dress Pendek Hijau Botol,45000,new,1
2873,Bra Kemben Cewek,35000,new,1
2928,Bra Sport Wanita Murah Elegan,25000,new,1
2929,Celana Dalam Wanita Mulus Seamless 3D Underwear,17000,new,1
2930,CD Original Munafie Seamless Women Panties Celana Dalam Wanita,20000,new,1
